"output" "labor" "capital" "province" "ownership" "industry" "list"
17338 350 23777 24 5 8 0
21203 350 12327 29 3 16 0
22604 350 25796 29 3 18 0
50056 350 38345 15 2 22 0
58829 350 49727 29 3 19 1
65913 350 60431 15 3 5 0
14001 351 11171 17 3 5 0
12280 352 9118 29 4 12 0
13940 352 12353 15 2 21 0
14390 352 3470 29 2 10 0
34806 352 25257 29 2 20 0
12476 356 8274 15 1 18 0
22105 356 25540 25 3 4 0
18840 358 7723 10 1 18 0
34890 358 62421 15 3 29 0
13179 360 16091 29 3 7 0
16500 360 13005 15 4 10 0
17800 360 7001 15 3 12 0
18001 360 32000 21 2 3 0
52920 360 11376 16 3 20 0
61538 360 31442 13 2 21 0
17014 362 14467 29 3 3 0
13979 364 18247 29 3 12 0
13666 365 5957 3 5 19 0
13969 365 19043 29 3 21 0
12627 368 14912 24 3 12 0
18278 368 15326 15 2 21 0
37000 368 24100 22 2 5 0
13955 369 9713 29 2 18 0
12000 370 24000 11 3 19 0
12347 370 10430 24 3 12 0
27200 370 25320 25 2 18 0
18514 372 17190 29 5 21 0
38873 377 9610 21 3 10 0
13532 378 12638 21 4 25 0
16124 379 8178 29 5 17 0
12000 380 9600 21 2 18 0
13079 380 15281 29 3 21 0
13415 380 13520 28 3 18 0
13749 380 10783 29 4 12 0
14156 380 31850 18 3 17 0
14398 380 17198 5 2 26 0
15000 380 5500 10 2 18 0
15320 380 8600 29 3 18 0
15530 380 22789 29 4 12 0
17378 380 26041 24 5 3 0
18000 380 7350 15 4 12 0
24729 380 35799 29 5 18 0
25285 380 19209 29 3 5 0
31508 380 50803 10 4 1 0
35000 380 40000 24 3 3 0
83370 380 27257 30 3 15 0
98626 380 25772 24 4 5 0
12000 382 8022 24 3 22 0
12000 382 15000 15 4 18 0
13853 382 5270 15 5 12 0
35650 384 50279 24 3 3 0
13478 385 6450 29 4 16 0
13384 386 10665 15 1 8 0
131054 386 420748 29 3 7 1
12000 389 3032 21 4 19 0
14221 389 11693 5 3 3 0
27425 389 6729 15 3 20 0
16662 390 12196 29 3 3 0
24488 390 17904 3 4 25 0
13001 395 7271 2 3 21 0
12547 396 7657 15 3 16 0
24000 396 7700 15 4 17 0
16819 397 43684 29 2 27 0
12001 398 27000 11 2 21 0
13317 400 10586 5 3 7 0
14000 400 4800 21 3 14 0
15961 400 6852 15 3 18 0
18302 400 32240 17 3 4 0
21695 400 8828 15 3 12 0
22542 400 21401 15 3 18 0
22958 400 43691 11 3 19 0
28001 400 6001 15 3 17 0
28646 400 23236 16 3 17 0
31031 400 22118 24 4 19 0
36358 400 9243 15 4 5 0
37356 400 59019 5 3 4 0
64166 400 46714 15 3 20 0
